PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
21,https://www.birminghamboilerrepairs.uk/acocks-green/baxi-specialists,Acocks Green Baxi Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Acocks%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/baxi-specialists,Austin Village Baxi Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/alpha-boiler-specialists,Bartley Green Alpha Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/ariston-specialists,Austin Village Ariston Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/aston-cross/ideal-boilers-specialists,Aston Cross Ideal Boilers Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-servicing
https://www.birminghamboilerrepairs.uk/Aston%20Cross/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/combination-boiler-services,Austin Village Combination Boiler Services | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/ariston-specialists,Bartley Green Ariston Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/glowworm-specialists,Austin Village Glow-worm Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/viessmann-specialists,Bartley Green Viessmann Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/biasi-specialists,Austin Village Biasi Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/acocks-green/glowworm-specialists,Acocks Green Glow-worm Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Acocks%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/glowworm-specialists,Bartley Green Glow-worm Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/aston-cross/boiler-servicing,Aston Cross Boiler Servicing | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/combination-boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/boiler-repairs,Austin Village Boiler Repairs | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/combination-boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/vokera-specialists,Bartley Green Vokera Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/aston-cross/worcester-bosch-specialists,Aston Cross Worcester Bosch Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-servicing
https://www.birminghamboilerrepairs.uk/Aston%20Cross/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/bartley-green/boiler-repairs,Bartley Green Boiler Repairs | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/combination-boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/acocks-green/vokera-specialists,Acocks Green Vokera Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Acocks%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/ferroli-specialists,Austin Village Ferroli Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
